system:index,Annual_Forest_Loss_ha,Cumulative_Forest_Loss_ha,Mean_LST_Celsius_Landsat,Mean_NBR_Burn_Ratio_Landsat,Mean_NDVI_Landsat,Valid_Landsat_Image_Count,Year
1.00,0.00,0.00,32.09,0.24,0.52,4.00,1986
2.00,0.00,0.00,36.40,0.41,0.64,2.00,1987
4.00,0.00,0.00,26.67,0.23,0.47,6.00,1989
5.00,0.00,0.00,29.12,0.11,0.38,13.00,1990
6.00,0.00,0.00,28.12,0.16,0.39,11.00,1991
7.00,0.00,0.00,25.24,0.17,0.40,7.00,1992
8.00,0.00,0.00,29.83,0.10,0.36,8.00,1993
9.00,0.00,0.00,30.28,0.10,0.33,7.00,1994
10.00,0.00,0.00,27.63,0.12,0.37,11.00,1995
11.00,0.00,0.00,26.87,0.17,0.44,8.00,1996
12.00,0.00,0.00,26.93,0.27,0.48,3.00,1997
13.00,0.00,0.00,30.90,0.20,0.44,10.00,1998
14.00,0.00,0.00,29.25,0.21,0.47,9.00,1999
15.00,0.00,0.00,30.09,0.13,0.42,11.00,2000
16.00,2.39,2.39,32.28,0.19,0.45,15.00,2001
17.00,21.65,24.04,29.91,0.16,0.45,18.00,2002
18.00,0.17,24.20,30.78,0.23,0.50,13.00,2003
19.00,4.14,28.35,31.52,0.15,0.42,16.00,2004
20.00,0.93,29.28,31.70,0.14,0.41,18.00,2005
21.00,9.05,38.32,29.71,0.24,0.50,17.00,2006
22.00,2.54,40.86,30.36,0.18,0.46,22.00,2007
23.00,3.05,43.91,32.47,0.24,0.50,18.00,2008
24.00,24.10,68.01,29.76,0.26,0.54,9.00,2009
25.00,2.37,70.38,33.92,0.24,0.52,13.00,2010
26.00,1.35,71.73,33.96,0.19,0.48,9.00,2011
27.00,5.16,76.89,33.02,0.16,0.43,15.00,2012
28.00,9.64,86.53,33.99,0.12,0.42,34.00,2013
29.00,2.03,88.56,31.03,0.19,0.49,42.00,2014
30.00,2.28,90.84,33.12,0.21,0.49,42.00,2015
31.00,12.00,102.85,32.12,0.20,0.49,42.00,2016
32.00,14.12,116.96,28.19,0.28,0.55,41.00,2017
33.00,9.81,126.77,32.30,0.24,0.53,43.00,2018
34.00,10.31,137.09,33.36,0.19,0.49,44.00,2019
35.00,1.35,138.44,29.46,0.17,0.44,40.00,2020
36.00,3.30,141.74,30.98,0.25,0.52,42.00,2021
37.00,1.94,143.68,31.42,0.23,0.52,48.00,2022
38.00,1.78,145.46,31.69,0.26,0.54,39.00,2023
39.00,1.01,146.47,33.49,0.19,0.49,45.00,2024
40.00,1.01,147.49,30.39,0.22,0.51,41.00,2025
